Time,Top.Head,Top.Head,Top.Head,Rear.Head,Rear.Head,Rear.Head,R.Scapula,R.Scapula,R.Scapula,Sacral,Sacral,Sacral,L.Shoulder,L.Shoulder,L.Shoulder,L.Elbow,L.Elbow,L.Elbow,L.Wrist,L.Wrist,L.Wrist,L.ASIS,L.ASIS,L.ASIS,L.Knee,L.Knee,L.Knee,L.Ankle,L.Ankle,L.Ankle,L.Toe,L.Toe,L.Toe,R.Shoulder,R.Shoulder,R.Shoulder,R.Elbow,R.Elbow,R.Elbow,R.Wrist,R.Wrist,R.Wrist,R.ASIS,R.ASIS,R.ASIS,R.Knee,R.Knee,R.Knee,R.Ankle,R.Ankle,R.Ankle,R.Toe,R.Toe,R.Toe
Unnamed: 1_level_1,X2,Y2,Z2,X3,Y3,Z3,X22,Y22,Z22,X12,Y12,Z12,X4,Y4,Z4,X6,Y6,Z6,X8,Y8,Z8,X10,Y10,Z10,X13,Y13,Z13,X15,Y15,Z15,X17,Y17,Z17,X5,Y5,Z5,X7,Y7,Z7,X9,Y9,Z9,X11,Y11,Z11,X14,Y14,Z14,X16,Y16,Z16,X18,Y18,Z18
18.108,716.5892299999999,-433.18457,1785.78455,694.30255,-450.39627,1688.5996100000002,702.10168,-543.0778799999999,1452.5118400000001,593.65503,-444.23287999999997,1082.92151,636.65302,-181.97168,1464.90295,540.56592,-175.77303999999998,1251.73865,759.19641,-189.08521000000002,1148.93506,711.44678,-264.0072,1027.64294,644.43341,-238.45647000000002,540.99567,595.56537,-252.7881,137.01956,789.86914,-207.31552,-24.950689999999998,852.0576800000001,-554.3186,1479.81226,778.48975,-687.35352,1275.52271,881.65845,-510.90594000000004,1180.91431,811.04126,-446.39334,1023.41803,831.70551,-520.3429,554.89435,644.19128,-617.13733,180.1456,777.93848,-548.58228,-26.74775
18.117,715.88635,-433.84079,1786.1462399999998,693.83502,-450.55383,1689.56921,702.37195,-543.51843,1453.4976800000002,594.16895,-444.37575999999996,1085.14514,635.62762,-182.0071,1464.54126,540.34412,-175.85017,1251.3360599999999,759.57495,-189.26334,1148.76563,711.3688400000001,-263.66427999999996,1028.4093,644.80029,-237.6886,540.34137,586.0351,-256.95819,139.23338,777.86487,-211.58657999999997,-26.272940000000002,851.87085,-554.64478,1480.65173,777.66724,-688.64484,1276.9583699999998,880.6773699999999,-512.87695,1180.34717,810.60358,-445.89169000000004,1024.4259,834.03198,-517.01031,556.55701,656.86395,-613.50671,177.0098,797.21619,-540.1773099999999,-23.7438
18.125,715.24969,-434.50012000000004,1786.17908,693.33765,-451.18747,1689.0672600000003,702.33435,-543.55664,1453.7150900000001,594.42841,-444.40875,1086.05591,634.82263,-181.45973,1462.9273699999999,539.93494,-175.57273999999998,1250.34827,759.95294,-189.22673,1147.86157,711.4094200000001,-263.62448,1028.41052,644.64441,-236.96793,539.8938,576.48016,-261.82401,140.70488,764.73682,-216.77765,-28.28095,851.41565,-554.94696,1480.69873,777.00842,-689.49982,1277.74475,879.9788199999999,-513.96271,1179.01709,811.7622700000001,-445.71826,1025.5523699999999,836.91187,-513.76599,557.92352,670.83252,-610.04498,173.30148,816.15613,-533.10382,-20.98134
18.133,714.97272,-434.77264,1785.44092,693.11133,-450.95435,1688.3728,701.8875099999999,-543.3819,1453.2437699999998,595.2832,-444.96802,1085.56506,634.26617,-181.11945,1461.02661,540.22284,-176.00423,1248.42346,760.2710599999999,-189.11518999999998,1146.25586,711.1295200000001,-263.35794,1028.1862800000001,643.27899,-236.49587999999997,538.36041,566.96313,-267.10614,142.21565,749.9393299999999,-223.0804,-30.813000000000002,850.79749,-555.28998,1480.06226,776.07104,-690.32874,1277.62354,878.9512300000001,-514.85022,1176.29956,811.53491,-445.37130999999994,1025.8173800000002,839.9033199999999,-510.31909,558.4354900000001,686.2973,-605.18945,167.77768,836.2171599999999,-523.90845,-18.94825
18.142,713.71686,-435.59802,1783.7825899999998,692.24158,-451.34952000000004,1686.80823,701.5719,-543.35376,1451.92029,595.19275,-445.18661,1084.80872,633.5549900000001,-181.04256999999998,1458.4207800000001,540.41602,-175.91603,1246.0601800000002,761.2901,-189.26793,1143.94275,710.75006,-262.87912,1027.1309800000001,642.14368,-236.99372999999997,537.13605,555.9877299999999,-273.16806,144.07031,735.3562599999999,-229.09341,-33.06333,850.78394,-555.86084,1479.18311,775.34375,-690.62756,1276.5637199999999,878.40851,-516.34778,1172.72681,811.61572,-444.4895,1024.8754900000001,842.3925199999999,-506.71792999999997,558.1712,700.81055,-600.84698,162.66325,856.6806,-514.6607700000001,-16.44088
18.15,713.25348,-436.16540999999995,1781.7546399999999,691.71582,-451.40765,1684.4937699999998,701.2189900000001,-543.50623,1450.4812,595.00458,-445.39471,1082.50574,633.54614,-180.68386999999998,1455.6001,540.79443,-176.03027,1243.08386,761.7934,-188.88400000000001,1141.32593,710.90204,-262.78275,1025.13,641.42664,-237.61574,535.05377,545.79834,-279.00961,144.6734,720.5366799999999,-235.35882999999998,-35.202459999999995,850.1746800000001,-555.70526,1477.7055699999999,774.41382,-691.078,1275.20764,877.21912,-517.71924,1168.18469,811.51788,-444.04562000000004,1024.39124,845.20343,-503.39157,556.93201,715.46094,-595.77954,156.82126,877.7669099999999,-504.48395,-13.38008
18.158,712.4542799999999,-436.59668,1779.0151399999997,691.31763,-451.67075,1681.68347,700.63477,-543.4715,1448.50745,595.05237,-445.63277999999997,1079.49829,633.81891,-180.66545,1452.03418,541.4754,-176.66433999999998,1239.09802,762.93213,-188.80848999999998,1137.65222,710.14221,-261.3035,1023.36694,640.41418,-238.34685,532.86633,534.90222,-285.26678,145.67711,704.95013,-240.67091000000002,-36.75031,849.6311,-556.03906,1475.24988,773.97101,-690.9715,1272.79956,876.60919,-518.78485,1163.14758,811.7251,-443.74136,1022.02026,848.48975,-499.9928,555.42529,731.03351,-590.78583,151.08508,898.9577,-492.34497000000005,-10.35019
18.167,711.91901,-436.69888,1775.64294,690.73242,-451.97232,1677.9788800000001,699.4245599999999,-543.2876,1445.55811,594.91998,-445.79593,1075.26282,633.75189,-180.36075,1448.57874,542.12628,-177.44298999999998,1234.64648,763.7896099999999,-188.73619,1133.00989,710.17029,-261.22354,1020.84967,640.32013,-239.75101,529.2179,524.25873,-291.32965,145.62819,690.05164,-246.32175,-38.4861,848.30072,-556.22998,1472.09875,772.8045,-690.85437,1269.03528,876.1560099999999,-519.70416,1157.25427,812.89832,-444.16742,1020.7003800000001,851.74603,-496.80014000000006,553.4066799999999,745.84515,-585.3114,144.9191,919.34375,-481.82492,-7.520630000000001
18.175,711.13593,-437.47708,1771.44312,690.29852,-452.02524000000005,1673.92603,698.41882,-543.11078,1441.69995,595.41608,-446.32415999999995,1069.89392,634.27295,-180.44016000000002,1444.30188,543.901,-178.50381000000002,1230.16174,765.16858,-188.82417,1128.00781,710.87854,-261.21432000000004,1017.5794099999999,641.13348,-240.6369,524.79926,513.7918099999999,-297.74652000000003,145.57811,675.0083,-251.27954,-39.88332,847.67798,-556.56934,1468.49536,772.20911,-690.51044,1264.97595,875.73474,-520.6231700000001,1150.1626,812.30664,-443.44424000000004,1016.60699,854.52856,-493.28262,550.51263,761.00421,-579.56329,138.60867,937.0764800000001,-469.68323,-6.60261
18.183,710.17535,-437.42972000000003,1766.66284,689.22455,-452.01140999999996,1668.8667,698.11316,-543.22125,1437.3071300000001,594.89136,-446.62994000000003,1064.0815400000001,634.3073099999999,-180.3286,1439.66797,545.56506,-179.24745,1224.35718,765.63562,-189.20549,1121.94775,710.73273,-261.17184,1013.6377,641.12097,-241.92781000000002,520.24744,503.39648,-304.23666000000003,145.25816,660.2926,-255.73577999999998,-39.8012,847.06561,-556.7656900000001,1463.98315,770.56281,-689.82166,1260.05457,874.6229900000001,-521.7412099999999,1142.83875,812.9281599999999,-443.83755,1013.3253199999999,858.33459,-490.33774000000005,547.34912,777.14355,-573.2832599999999,131.42348,954.65021,-458.12670999999995,-6.8669
